"","PCA.1","PCA.2","PCA.3","PCA.4","PCA.5","MDS.x","MDS.y","tSNE.x","tSNE.y"
"p53_mock_1",-41.8941910933509,8.84070251823405,3.82856192707097,-7.60785535883377,24.8026825748189,-0.0365753348985334,-0.00845760168815894,-10.6640974636977,263.125709145468
"p53_mock_2",-42.2038547716587,15.8385196814902,1.98193563025795,-1.83329339982485,14.5608681305052,-0.0336431763657595,-0.0165219553224141,-9.4968014573081,227.813536120994
"p53_mock_3",-43.0635089874186,13.0579364742314,4.1454865748618,-4.55350378128377,18.2625570167978,-0.0351655556624478,-0.0137144533786585,-30.5230235583571,215.031056856667
"p53_mock_4",-45.6088659201663,17.0297038112713,0.478029949748102,-3.0886459021968,-16.9238722629164,-0.0409299704509856,-0.0207065284729965,28.5003749829657,213.546953870738
"p53_IR_1",58.0339028738078,31.1813654592825,-15.163134581254,1.54904991882874,4.0142821287236,0.0526033070361174,-0.0231171458129169,-97.6523866919645,-111.933115952895
"p53_IR_2",70.5378407897053,40.0212916370528,-33.4852328624285,7.19416618116815,2.8373792545351,0.0758382154967857,-0.0308876713676627,-119.324561038332,-108.05956292988
"p53_IR_3",49.5520959527999,-2.10477893149757,27.1556236326023,-43.0122952208746,-11.6772434258675,0.0443284885808552,0.00649193430545339,68.1048854804802,-0.06901372575378
"p53_IR_4",58.3656004982513,-4.05758943191173,47.8167794742907,29.7639916333786,1.35499219857416,0.0538597294337561,0.014809515638256,75.0147058902151,23.9383096163792
"null_mock_1",-43.58657075893,5.93136730570963,-0.967130896399519,6.9832081967104,-20.2207009005571,-0.0397440775781876,-0.00564539673316667,22.4646211746013,-85.9396249291557
"null_mock_2",-45.3194418261126,1.6722562993923,0.459086306581909,13.9997005528246,-18.7132477389527,-0.0434767356181356,-0.000581315549306678,21.1433702703022,-66.5376786006203
"null_IR_1",11.8762497447965,-81.29735797198,-7.67264079647695,3.82389056033837,12.1713524290839,-0.00191502850730198,0.0661463295648073,37.4241207392385,-285.713445108375
"null_IR_2",13.3107434982764,-46.113416851275,-28.5773643588548,-3.21841338023498,-10.4690494047449,0.00482013853383701,0.0321842888167643,15.0087916718563,-285.203124363566
